clinic,day,population,encounters
11405,2009-09-30,165,369
11405,2009-10-31,185,373
11405,2009-11-30,193,309
11405,2009-12-31,209,423
11405,2010-01-31,241,232
11405,2010-02-28,260,347
11405,2010-03-31,273,458
11405,2010-04-30,294,490
11405,2010-05-31,307,488
11405,2010-06-30,321,488
11405,2010-07-31,339,547
11405,2010-08-31,356,507
11405,2010-09-30,376,539
11405,2010-10-31,396,619
11405,2010-11-30,406,575
11405,2010-12-31,415,588
11405,2011-01-31,440,731
11405,2011-02-28,457,651
11405,2011-03-31,471,729
11405,2011-04-30,482,753
11405,2011-05-31,496,832
11405,2011-06-30,513,881
11405,2011-07-31,536,883
11405,2011-08-31,548,881
11405,2011-09-30,555,779
11405,2011-10-31,563,823
11405,2011-11-30,575,804
11405,2011-12-31,587,816
11405,2012-01-31,598,546
11412,2006-01-31,64,141
11412,2006-03-31,79,267
11412,2006-04-30,87,187
11412,2006-06-30,96,214
11412,2006-07-31,106,244
11412,2006-09-30,112,225
11412,2006-10-31,118,269
11412,2006-12-31,137,293
11412,2007-01-31,146,359
11412,2007-03-31,173,502
11412,2007-04-30,188,402
11412,2007-06-30,217,521
11412,2007-07-31,239,593
11412,2007-09-30,270,550
11412,2007-10-31,284,561
11412,2007-12-31,313,650
11412,2008-01-31,327,679
11412,2008-03-31,363,768
11412,2008-04-30,375,681
11412,2008-06-30,402,756
11412,2008-07-31,415,773
11412,2008-09-30,451,806
11412,2008-10-31,471,814
11412,2008-12-31,504,783
11412,2009-01-31,529,749
11412,2009-03-31,566,859
11412,2009-04-30,586,828
11412,2009-05-31,602,814
11412,2009-06-30,638,1102
11412,2009-07-31,670,1485
11412,2009-08-31,682,1154
11412,2009-09-30,702,1346
11412,2009-10-31,719,1261
11412,2009-11-30,738,1170
11412,2009-12-31,756,1305
11412,2010-01-31,768,895
11412,2010-02-28,779,952
11412,2010-03-31,791,1093
11412,2010-04-30,799,996
11412,2010-05-31,804,1105
11412,2010-06-30,818,1103
11412,2010-07-31,828,1016
11412,2010-08-31,840,1122
11412,2010-09-30,862,1134
11412,2010-10-31,879,1156
11412,2010-11-30,892,1040
11412,2010-12-31,904,1057
11412,2011-01-31,921,1097
11412,2011-02-28,949,1087
11412,2011-03-31,975,1206
11412,2011-04-30,1000,1303
11412,2011-05-31,1026,1399
11412,2011-06-30,1048,1343
11412,2011-07-31,1061,1328
11412,2011-08-31,1082,1411
11412,2011-09-30,1123,1449
11412,2011-10-31,1156,1491
11412,2011-11-30,1190,1482
11412,2011-12-31,1223,1676
11412,2012-01-31,1253,1743
11423,2008-10-31,6,13
11423,2008-12-31,8,2
11423,2009-01-31,8,0
11423,2009-03-31,10,2
11423,2009-04-30,12,2
11423,2009-05-31,13,2
11423,2009-06-30,19,12
11423,2009-07-31,26,32
11423,2009-08-31,34,35
11423,2009-09-30,42,49
11423,2009-10-31,69,170
11423,2009-11-30,78,104
11423,2009-12-31,86,76
11423,2010-01-31,89,35
11423,2010-02-28,89,0
11423,2010-03-31,90,48
11423,2010-04-30,97,95
11423,2010-05-31,97,30
11423,2010-06-30,101,43
